Conta;AV 2019;AV 2020;AV 2021;AV 2022;AV 2023
Custo dos Produtos/Serviços;;;;;
Despesas Operacionais;;;;;
Lucro Bruto;;;;;
Lucro Líquido;;;;;
Lucro Operacional (EBIT);;;;;
Receita Líquida;;;;;
