Conta;AH 2019;AH 2020;AH 2021;AH 2022;AH 2023
Custo dos Produtos/Serviços;0.0;;;;
Despesas Operacionais;0.0;;;;
Lucro Bruto;0.0;;;;
Lucro Líquido;0.0;;;;
Lucro Operacional (EBIT);0.0;;;;
Receita Líquida;0.0;;;;
