Conta;Codigo;2019;2020;2021;2022;2023
Custo dos Produtos/Serviços;3.02;;;;;
Despesas Operacionais;3.04;;;;;
Lucro Bruto;3.03;;;;;
Lucro Líquido;3.11;;;;;
Lucro Operacional (EBIT);3.05;;;;;
Receita Líquida;3.01;;;;;
